"user_id","question_id","idanswers","answer"
"61","1","314","Hello!\
I am Sahithi from IIIT Bangalore. I hometown is Guntur(Andhra Pradesh).\
I am pursuing my Engineering 3rd year.  "
"61","40","318","I would like to be respected rather than being liked. "
"61","50","338","3 days back I decided to prepare my breakfast in my room i.e cook maggie. I never cooked anything before. It was a utter failure"
"61","30","361",""
"61","23","371","The fruits of the job like improving my skills, to improve my  self esteem"
"61","24","377","I feel that I am not a very creative person"
