user_id,question_id,idanswers,answer
34,1,180,"I am Dharam Unadkat,currently studying in IIITB.I am from Gujarat.I am technology enthusiast.My area of interest are ML and NLP.I am quick learner as well as good team player.I love to go for trekking.I believe in philosophy of honesty."
34,36,181,I would love to learn Computer graphics as new skill.As I am very curious about it as I have never learned any graphics related course. 
34,19,182,"Confidence is something that build faith in ourselves after doing required work at a same time we are not ignoring others capabilities and knowledge.\
Overconfidence is something that comes because of our ego.Believing in self without doing required work.Consciously or unconsciously we are ignoring capabilities of our compititors    "
34,48,183,"I tried to engage them in our work , by sharing all work what I have done.I also explained him how I have done completed some of my task.As this helped him to get involved in work and he has started active participation in project."
34,29,184,"I love to play cricket , badminton.I am also active trekker.I am an active  member  of various trekking clubs in Bangalore."
34,17,515,I think joining IIITB has been my best career decision so far.
